"","assembly","nuccore","rae1_200","rae1_400","rae1_800","hrpA","assembly_name","organism_name","assembly_level","assembly_stats_contig_n50","assembly_stats_number_of_scaffolds","check_m_marker_set","check_m_completeness","check_m_contamination","tax_id","organism","domain.x","domain.y","phylum","class","order","family","genus","species"
"1","GCF_048300925.1","NZ_CP133759.1",FALSE,FALSE,FALSE,FALSE,"TTP_v4","Thermithiobacillus tepidarius DSM 3134","Complete Genome",2989371,1,"Acidithiobacillales",99.9,1.18,1123368,"cellular organisms","Bacteria",NA,"Acidithiobacillia","Acidithiobacillia","Acidithiobacillales","Thermithiobacillaceae","Thermithiobacillus","Thermithiobacillus tepidarius;Thermithiobacillus tepidarius DSM 3134"
"2","GCF_018304825.1","NZ_CP072648.1;NZ_CP072649.1",FALSE,FALSE,FALSE,FALSE,"ASM1830482v1","Chloracidobacterium validum","Complete Genome",2659040,2,"Acidobacteriaceae",84.15,5.18,2821543,NA,NA,"Bacteria","Acidobacteriota","Blastocatellia","Chloracidobacteriales","Chloracidobacteriaceae","Chloracidobacterium","Chloracidobacterium validum"
"3","GCF_026627425.1","NZ_JAPNLH010000010.1;NZ_JAPNLH010000011.1;NZ_JAPNLH010000012.1;NZ_JAPNLH010000013.1;NZ_JAPNLH010000014.1;NZ_JAPNLH010000015.1;NZ_JAPNLH010000016.1;NZ_JAPNLH010000017.1;NZ_JAPNLH010000018.1;NZ_JAPNLH010000019.1;NZ_JAPNLH010000001.1;NZ_JAPNLH010000020.1;NZ_JAPNLH010000021.1;NZ_JAPNLH010000022.1;NZ_JAPNLH010000023.1;NZ_JAPNLH010000024.1;NZ_JAPNLH010000025.1;NZ_JAPNLH010000026.1;NZ_JAPNLH010000027.1;NZ_JAPNLH010000028.1;NZ_JAPNLH010000029.1;NZ_JAPNLH010000002.1;NZ_JAPNLH010000030.1;NZ_JAPNLH010000031.1;NZ_JAPNLH010000032.1;NZ_JAPNLH010000033.1;NZ_JAPNLH010000034.1;NZ_JAPNLH010000035.1;NZ_JAPNLH010000036.1;NZ_JAPNLH010000037.1;NZ_JAPNLH010000038.1;NZ_JAPNLH010000039.1;NZ_JAPNLH010000003.1;NZ_JAPNLH010000040.1;NZ_JAPNLH010000041.1;NZ_JAPNLH010000042.1;NZ_JAPNLH010000043.1;NZ_JAPNLH010000044.1;NZ_JAPNLH010000045.1;NZ_JAPNLH010000046.1;NZ_JAPNLH010000047.1;NZ_JAPNLH010000048.1;NZ_JAPNLH010000049.1;NZ_JAPNLH010000004.1;NZ_JAPNLH010000050.1;NZ_JAPNLH010000051.1;NZ_JAPNLH010000052.1;NZ_JAPNLH010000053.1;NZ_JAPNLH010000054.1;NZ_JAPNLH010000055.1;NZ_JAPNLH010000056.1;NZ_JAPNLH010000057.1;NZ_JAPNLH010000058.1;NZ_JAPNLH010000059.1;NZ_JAPNLH010000005.1;NZ_JAPNLH010000060.1;NZ_JAPNLH010000061.1;NZ_JAPNLH010000062.1;NZ_JAPNLH010000063.1;NZ_JAPNLH010000064.1;NZ_JAPNLH010000065.1;NZ_JAPNLH010000066.1;NZ_JAPNLH010000067.1;NZ_JAPNLH010000068.1;NZ_JAPNLH010000069.1;NZ_JAPNLH010000006.1;NZ_JAPNLH010000070.1;NZ_JAPNLH010000071.1;NZ_JAPNLH010000072.1;NZ_JAPNLH010000007.1;NZ_JAPNLH010000008.1;NZ_JAPNLH010000009.1",FALSE,FALSE,FALSE,TRUE,"ASM2662742v1","Arthrobacter endolithicus","Scaffold",175551,72,"Arthrobacter",97.8,1.58,2996697,"cellular organisms","Bacteria",NA,"Actinobacteriota","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter;unclassified Arthrobacter;Arthrobacter sp. H14-L1"
"4","GCF_027498475.1","NZ_JAPZLN010000010.1;NZ_JAPZLN010000011.1;NZ_JAPZLN010000012.1;NZ_JAPZLN010000013.1;NZ_JAPZLN010000014.1;NZ_JAPZLN010000015.1;NZ_JAPZLN010000016.1;NZ_JAPZLN010000017.1;NZ_JAPZLN010000018.1;NZ_JAPZLN010000001.1;NZ_JAPZLN010000019.1;NZ_JAPZLN010000020.1;NZ_JAPZLN010000021.1;NZ_JAPZLN010000022.1;NZ_JAPZLN010000002.1;NZ_JAPZLN010000003.1;NZ_JAPZLN010000004.1;NZ_JAPZLN010000005.1;NZ_JAPZLN010000006.1;NZ_JAPZLN010000007.1;NZ_JAPZLN010000008.1;NZ_JAPZLN010000009.1",FALSE,FALSE,FALSE,FALSE,"ASM2749847v1","Agrobacterium salinitolerans","Contig",714589,22,"Agrobacterium",99.71,1.39,1183413,"cellular organisms","Bacteria",NA,"Alphaproteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium/Agrobacterium group","Agrobacterium;Agrobacterium salinitolerans"
"5","GCF_009192995.1","NZ_SDID01000001.1;NZ_SDID01000010.1;NZ_SDID01000011.1;NZ_SDID01000012.1;NZ_SDID01000013.1;NZ_SDID01000014.1;NZ_SDID01000015.1;NZ_SDID01000016.1;NZ_SDID01000017.1;NZ_SDID01000018.1;NZ_SDID01000019.1;NZ_SDID01000002.1;NZ_SDID01000020.1;NZ_SDID01000021.1;NZ_SDID01000022.1;NZ_SDID01000023.1;NZ_SDID01000024.1;NZ_SDID01000025.1;NZ_SDID01000026.1;NZ_SDID01000027.1;NZ_SDID01000028.1;NZ_SDID01000029.1;NZ_SDID01000003.1;NZ_SDID01000030.1;NZ_SDID01000031.1;NZ_SDID01000032.1;NZ_SDID01000033.1;NZ_SDID01000034.1;NZ_SDID01000035.1;NZ_SDID01000036.1;NZ_SDID01000037.1;NZ_SDID01000038.1;NZ_SDID01000039.1;NZ_SDID01000004.1;NZ_SDID01000040.1;NZ_SDID01000041.1;NZ_SDID01000042.1;NZ_SDID01000043.1;NZ_SDID01000044.1;NZ_SDID01000045.1;NZ_SDID01000046.1;NZ_SDID01000047.1;NZ_SDID01000048.1;NZ_SDID01000049.1;NZ_SDID01000005.1;NZ_SDID01000050.1;NZ_SDID01000051.1;NZ_SDID01000052.1;NZ_SDID01000006.1;NZ_SDID01000007.1;NZ_SDID01000008.1;NZ_SDID01000009.1",FALSE,FALSE,FALSE,FALSE,"ASM919299v1","Sulfurimonas indica","Contig",108919,52,"Sulfurimonas",95.53,3.7,2508707,"cellular organisms","Bacteria",NA,"Aquificota + Campylobacterota + Deferribacterota","Epsilonproteobacteria","Campylobacterales","Thiovulaceae","Sulfurimonas","Sulfurimonas indica"
"6","GCF_046000445.1","NZ_JBELPZ010000010.1;NZ_JBELPZ010000011.1;NZ_JBELPZ010000012.1;NZ_JBELPZ010000013.1;NZ_JBELPZ010000014.1;NZ_JBELPZ010000015.1;NZ_JBELPZ010000016.1;NZ_JBELPZ010000017.1;NZ_JBELPZ010000018.1;NZ_JBELPZ010000019.1;NZ_JBELPZ010000001.1;NZ_JBELPZ010000020.1;NZ_JBELPZ010000021.1;NZ_JBELPZ010000022.1;NZ_JBELPZ010000023.1;NZ_JBELPZ010000024.1;NZ_JBELPZ010000025.1;NZ_JBELPZ010000026.1;NZ_JBELPZ010000027.1;NZ_JBELPZ010000028.1;NZ_JBELPZ010000029.1;NZ_JBELPZ010000002.1;NZ_JBELPZ010000030.1;NZ_JBELPZ010000031.1;NZ_JBELPZ010000032.1;NZ_JBELPZ010000033.1;NZ_JBELPZ010000034.1;NZ_JBELPZ010000035.1;NZ_JBELPZ010000036.1;NZ_JBELPZ010000037.1;NZ_JBELPZ010000038.1;NZ_JBELPZ010000039.1;NZ_JBELPZ010000003.1;NZ_JBELPZ010000040.1;NZ_JBELPZ010000041.1;NZ_JBELPZ010000042.1;NZ_JBELPZ010000043.1;NZ_JBELPZ010000044.1;NZ_JBELPZ010000045.1;NZ_JBELPZ010000046.1;NZ_JBELPZ010000047.1;NZ_JBELPZ010000004.1;NZ_JBELPZ010000005.1;NZ_JBELPZ010000006.1;NZ_JBELPZ010000007.1;NZ_JBELPZ010000008.1;NZ_JBELPZ010000009.1",FALSE,FALSE,FALSE,FALSE,"ASM4600044v1","Flavobacterium rhizosphaerae","Scaffold",175129,47,"Flavobacterium",99.22,0.47,3163298,NA,NA,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium rhizosphaerae"
"7","GCF_024158925.1","NZ_JAMYWC010000001.1;NZ_JAMYWC010000010.1;NZ_JAMYWC010000011.1;NZ_JAMYWC010000012.1;NZ_JAMYWC010000013.1;NZ_JAMYWC010000014.1;NZ_JAMYWC010000015.1;NZ_JAMYWC010000016.1;NZ_JAMYWC010000017.1;NZ_JAMYWC010000018.1;NZ_JAMYWC010000019.1;NZ_JAMYWC010000002.1;NZ_JAMYWC010000020.1;NZ_JAMYWC010000003.1;NZ_JAMYWC010000004.1;NZ_JAMYWC010000005.1;NZ_JAMYWC010000006.1;NZ_JAMYWC010000007.1;NZ_JAMYWC010000008.1;NZ_JAMYWC010000009.1",FALSE,FALSE,FALSE,TRUE,"ASM2415892v1","Ralstonia chuxiongensis","Scaffold",876322,20,"Ralstonia",99.97,0.72,2957504,"cellular organisms","Bacteria",NA,"Betaproteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","unclassified Ralstonia;Ralstonia sp. 21YRMH01-3"
"8","GCF_001050195.2","NZ_DF967965.1;NZ_DF967966.1;NZ_DF967967.1;NZ_DF967968.1;NZ_DF967969.1;NZ_DF967970.1",FALSE,FALSE,FALSE,FALSE,"ASM105019v2","Anaerolinea thermolimosa","Scaffold",109952,6,"Bacteria",94.25,0.86,229919,"cellular organisms","Bacteria",NA,"Chloroflexota","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea;Anaerolinea thermolimosa"
"9","GCF_041929205.1","NZ_JBHFNT010000001.1;NZ_JBHFNT010000010.1;NZ_JBHFNT010000100.1;NZ_JBHFNT010000101.1;NZ_JBHFNT010000102.1;NZ_JBHFNT010000103.1;NZ_JBHFNT010000104.1;NZ_JBHFNT010000105.1;NZ_JBHFNT010000106.1;NZ_JBHFNT010000107.1;NZ_JBHFNT010000108.1;NZ_JBHFNT010000109.1;NZ_JBHFNT010000011.1;NZ_JBHFNT010000110.1;NZ_JBHFNT010000111.1;NZ_JBHFNT010000112.1;NZ_JBHFNT010000113.1;NZ_JBHFNT010000114.1;NZ_JBHFNT010000115.1;NZ_JBHFNT010000116.1;NZ_JBHFNT010000117.1;NZ_JBHFNT010000118.1;NZ_JBHFNT010000119.1;NZ_JBHFNT010000012.1;NZ_JBHFNT010000120.1;NZ_JBHFNT010000121.1;NZ_JBHFNT010000122.1;NZ_JBHFNT010000123.1;NZ_JBHFNT010000124.1;NZ_JBHFNT010000125.1;NZ_JBHFNT010000126.1;NZ_JBHFNT010000127.1;NZ_JBHFNT010000128.1;NZ_JBHFNT010000129.1;NZ_JBHFNT010000013.1;NZ_JBHFNT010000130.1;NZ_JBHFNT010000131.1;NZ_JBHFNT010000132.1;NZ_JBHFNT010000133.1;NZ_JBHFNT010000134.1;NZ_JBHFNT010000135.1;NZ_JBHFNT010000136.1;NZ_JBHFNT010000137.1;NZ_JBHFNT010000138.1;NZ_JBHFNT010000139.1;NZ_JBHFNT010000014.1;NZ_JBHFNT010000140.1;NZ_JBHFNT010000141.1;NZ_JBHFNT010000142.1;NZ_JBHFNT010000143.1;NZ_JBHFNT010000144.1;NZ_JBHFNT010000145.1;NZ_JBHFNT010000146.1;NZ_JBHFNT010000147.1;NZ_JBHFNT010000148.1;NZ_JBHFNT010000149.1;NZ_JBHFNT010000015.1;NZ_JBHFNT010000150.1;NZ_JBHFNT010000151.1;NZ_JBHFNT010000152.1;NZ_JBHFNT010000153.1;NZ_JBHFNT010000154.1;NZ_JBHFNT010000155.1;NZ_JBHFNT010000156.1;NZ_JBHFNT010000157.1;NZ_JBHFNT010000158.1;NZ_JBHFNT010000159.1;NZ_JBHFNT010000016.1;NZ_JBHFNT010000160.1;NZ_JBHFNT010000161.1;NZ_JBHFNT010000162.1;NZ_JBHFNT010000163.1;NZ_JBHFNT010000164.1;NZ_JBHFNT010000165.1;NZ_JBHFNT010000166.1;NZ_JBHFNT010000167.1;NZ_JBHFNT010000168.1;NZ_JBHFNT010000169.1;NZ_JBHFNT010000017.1;NZ_JBHFNT010000170.1;NZ_JBHFNT010000171.1;NZ_JBHFNT010000172.1;NZ_JBHFNT010000173.1;NZ_JBHFNT010000174.1;NZ_JBHFNT010000175.1;NZ_JBHFNT010000176.1;NZ_JBHFNT010000177.1;NZ_JBHFNT010000178.1;NZ_JBHFNT010000179.1;NZ_JBHFNT010000018.1;NZ_JBHFNT010000180.1;NZ_JBHFNT010000181.1;NZ_JBHFNT010000182.1;NZ_JBHFNT010000183.1;NZ_JBHFNT010000184.1;NZ_JBHFNT010000185.1;NZ_JBHFNT010000186.1;NZ_JBHFNT010000187.1;NZ_JBHFNT010000188.1;NZ_JBHFNT010000189.1;NZ_JBHFNT010000019.1;NZ_JBHFNT010000190.1;NZ_JBHFNT010000191.1;NZ_JBHFNT010000192.1;NZ_JBHFNT010000193.1;NZ_JBHFNT010000194.1;NZ_JBHFNT010000195.1;NZ_JBHFNT010000196.1;NZ_JBHFNT010000197.1;NZ_JBHFNT010000198.1;NZ_JBHFNT010000199.1;NZ_JBHFNT010000002.1;NZ_JBHFNT010000020.1;NZ_JBHFNT010000200.1;NZ_JBHFNT010000201.1;NZ_JBHFNT010000202.1;NZ_JBHFNT010000203.1;NZ_JBHFNT010000204.1;NZ_JBHFNT010000205.1;NZ_JBHFNT010000206.1;NZ_JBHFNT010000207.1;NZ_JBHFNT010000208.1;NZ_JBHFNT010000209.1;NZ_JBHFNT010000021.1;NZ_JBHFNT010000210.1;NZ_JBHFNT010000211.1;NZ_JBHFNT010000212.1;NZ_JBHFNT010000213.1;NZ_JBHFNT010000214.1;NZ_JBHFNT010000215.1;NZ_JBHFNT010000216.1;NZ_JBHFNT010000217.1;NZ_JBHFNT010000218.1;NZ_JBHFNT010000219.1;NZ_JBHFNT010000022.1;NZ_JBHFNT010000220.1;NZ_JBHFNT010000221.1;NZ_JBHFNT010000222.1;NZ_JBHFNT010000223.1;NZ_JBHFNT010000224.1;NZ_JBHFNT010000225.1;NZ_JBHFNT010000226.1;NZ_JBHFNT010000227.1;NZ_JBHFNT010000228.1;NZ_JBHFNT010000229.1;NZ_JBHFNT010000023.1;NZ_JBHFNT010000230.1;NZ_JBHFNT010000231.1;NZ_JBHFNT010000232.1;NZ_JBHFNT010000233.1;NZ_JBHFNT010000234.1;NZ_JBHFNT010000235.1;NZ_JBHFNT010000236.1;NZ_JBHFNT010000237.1;NZ_JBHFNT010000238.1;NZ_JBHFNT010000239.1;NZ_JBHFNT010000024.1;NZ_JBHFNT010000240.1;NZ_JBHFNT010000241.1;NZ_JBHFNT010000242.1;NZ_JBHFNT010000243.1;NZ_JBHFNT010000244.1;NZ_JBHFNT010000245.1;NZ_JBHFNT010000246.1;NZ_JBHFNT010000247.1;NZ_JBHFNT010000248.1;NZ_JBHFNT010000249.1;NZ_JBHFNT010000025.1;NZ_JBHFNT010000250.1;NZ_JBHFNT010000251.1;NZ_JBHFNT010000252.1;NZ_JBHFNT010000253.1;NZ_JBHFNT010000254.1;NZ_JBHFNT010000255.1;NZ_JBHFNT010000256.1;NZ_JBHFNT010000257.1;NZ_JBHFNT010000258.1;NZ_JBHFNT010000259.1;NZ_JBHFNT010000026.1;NZ_JBHFNT010000260.1;NZ_JBHFNT010000261.1;NZ_JBHFNT010000262.1;NZ_JBHFNT010000263.1;NZ_JBHFNT010000264.1;NZ_JBHFNT010000265.1;NZ_JBHFNT010000266.1;NZ_JBHFNT010000267.1;NZ_JBHFNT010000268.1;NZ_JBHFNT010000269.1;NZ_JBHFNT010000027.1;NZ_JBHFNT010000270.1;NZ_JBHFNT010000271.1;NZ_JBHFNT010000272.1;NZ_JBHFNT010000273.1;NZ_JBHFNT010000274.1;NZ_JBHFNT010000275.1;NZ_JBHFNT010000276.1;NZ_JBHFNT010000277.1;NZ_JBHFNT010000278.1;NZ_JBHFNT010000279.1;NZ_JBHFNT010000028.1;NZ_JBHFNT010000280.1;NZ_JBHFNT010000281.1;NZ_JBHFNT010000282.1;NZ_JBHFNT010000283.1;NZ_JBHFNT010000284.1;NZ_JBHFNT010000285.1;NZ_JBHFNT010000286.1;NZ_JBHFNT010000287.1;NZ_JBHFNT010000288.1;NZ_JBHFNT010000289.1;NZ_JBHFNT010000029.1;NZ_JBHFNT010000290.1;NZ_JBHFNT010000291.1;NZ_JBHFNT010000292.1;NZ_JBHFNT010000293.1;NZ_JBHFNT010000294.1;NZ_JBHFNT010000295.1;NZ_JBHFNT010000296.1;NZ_JBHFNT010000297.1;NZ_JBHFNT010000298.1;NZ_JBHFNT010000299.1;NZ_JBHFNT010000003.1;NZ_JBHFNT010000030.1;NZ_JBHFNT010000300.1;NZ_JBHFNT010000301.1;NZ_JBHFNT010000302.1;NZ_JBHFNT010000303.1;NZ_JBHFNT010000304.1;NZ_JBHFNT010000305.1;NZ_JBHFNT010000306.1;NZ_JBHFNT010000307.1;NZ_JBHFNT010000308.1;NZ_JBHFNT010000309.1;NZ_JBHFNT010000031.1;NZ_JBHFNT010000310.1;NZ_JBHFNT010000311.1;NZ_JBHFNT010000312.1;NZ_JBHFNT010000313.1;NZ_JBHFNT010000314.1;NZ_JBHFNT010000315.1;NZ_JBHFNT010000316.1;NZ_JBHFNT010000317.1;NZ_JBHFNT010000318.1;NZ_JBHFNT010000319.1;NZ_JBHFNT010000032.1;NZ_JBHFNT010000320.1;NZ_JBHFNT010000321.1;NZ_JBHFNT010000322.1;NZ_JBHFNT010000323.1;NZ_JBHFNT010000324.1;NZ_JBHFNT010000325.1;NZ_JBHFNT010000326.1;NZ_JBHFNT010000327.1;NZ_JBHFNT010000328.1;NZ_JBHFNT010000329.1;NZ_JBHFNT010000033.1;NZ_JBHFNT010000034.1;NZ_JBHFNT010000035.1;NZ_JBHFNT010000036.1;NZ_JBHFNT010000037.1;NZ_JBHFNT010000038.1;NZ_JBHFNT010000039.1;NZ_JBHFNT010000004.1;NZ_JBHFNT010000040.1;NZ_JBHFNT010000041.1;NZ_JBHFNT010000042.1;NZ_JBHFNT010000043.1;NZ_JBHFNT010000044.1;NZ_JBHFNT010000045.1;NZ_JBHFNT010000046.1;NZ_JBHFNT010000047.1;NZ_JBHFNT010000048.1;NZ_JBHFNT010000049.1;NZ_JBHFNT010000005.1;NZ_JBHFNT010000050.1;NZ_JBHFNT010000051.1;NZ_JBHFNT010000052.1;NZ_JBHFNT010000053.1;NZ_JBHFNT010000054.1;NZ_JBHFNT010000055.1;NZ_JBHFNT010000056.1;NZ_JBHFNT010000057.1;NZ_JBHFNT010000058.1;NZ_JBHFNT010000059.1;NZ_JBHFNT010000006.1;NZ_JBHFNT010000060.1;NZ_JBHFNT010000061.1;NZ_JBHFNT010000062.1;NZ_JBHFNT010000063.1;NZ_JBHFNT010000064.1;NZ_JBHFNT010000065.1;NZ_JBHFNT010000066.1;NZ_JBHFNT010000067.1;NZ_JBHFNT010000068.1;NZ_JBHFNT010000069.1;NZ_JBHFNT010000007.1;NZ_JBHFNT010000070.1;NZ_JBHFNT010000071.1;NZ_JBHFNT010000072.1;NZ_JBHFNT010000073.1;NZ_JBHFNT010000074.1;NZ_JBHFNT010000075.1;NZ_JBHFNT010000076.1;NZ_JBHFNT010000077.1;NZ_JBHFNT010000078.1;NZ_JBHFNT010000079.1;NZ_JBHFNT010000008.1;NZ_JBHFNT010000080.1;NZ_JBHFNT010000081.1;NZ_JBHFNT010000082.1;NZ_JBHFNT010000083.1;NZ_JBHFNT010000084.1;NZ_JBHFNT010000085.1;NZ_JBHFNT010000086.1;NZ_JBHFNT010000087.1;NZ_JBHFNT010000088.1;NZ_JBHFNT010000089.1;NZ_JBHFNT010000009.1;NZ_JBHFNT010000090.1;NZ_JBHFNT010000091.1;NZ_JBHFNT010000092.1;NZ_JBHFNT010000093.1;NZ_JBHFNT010000094.1;NZ_JBHFNT010000095.1;NZ_JBHFNT010000096.1;NZ_JBHFNT010000097.1;NZ_JBHFNT010000098.1;NZ_JBHFNT010000099.1",TRUE,FALSE,FALSE,FALSE,"ASM4192920v1","Floridaenema evergladense BLCC-F167","Contig",54325,329,"Cyanobacteria",97.96,0.54,3153639,NA,NA,"Bacteria","Cyanobacteriota","Cyanophyceae","Aerosakkonematales","Aerosakkonemataceae","Floridanema","Floridanema evergladense"
"10","GCF_028330985.1","NZ_JAQMUE010000011.1;NZ_JAQMUE010000012.1;NZ_JAQMUE010000013.1;NZ_JAQMUE010000014.1;NZ_JAQMUE010000015.1;NZ_JAQMUE010000016.1;NZ_JAQMUE010000003.1;NZ_JAQMUE010000017.1;NZ_JAQMUE010000018.1;NZ_JAQMUE010000019.1;NZ_JAQMUE010000020.1;NZ_JAQMUE010000021.1;NZ_JAQMUE010000022.1;NZ_JAQMUE010000023.1;NZ_JAQMUE010000024.1;NZ_JAQMUE010000025.1;NZ_JAQMUE010000026.1;NZ_JAQMUE010000027.1;NZ_JAQMUE010000028.1;NZ_JAQMUE010000029.1;NZ_JAQMUE010000030.1;NZ_JAQMUE010000031.1;NZ_JAQMUE010000032.1;NZ_JAQMUE010000033.1;NZ_JAQMUE010000034.1;NZ_JAQMUE010000035.1;NZ_JAQMUE010000036.1;NZ_JAQMUE010000037.1;NZ_JAQMUE010000038.1;NZ_JAQMUE010000039.1;NZ_JAQMUE010000040.1;NZ_JAQMUE010000041.1;NZ_JAQMUE010000042.1;NZ_JAQMUE010000043.1;NZ_JAQMUE010000044.1;NZ_JAQMUE010000045.1;NZ_JAQMUE010000046.1;NZ_JAQMUE010000047.1;NZ_JAQMUE010000048.1;NZ_JAQMUE010000049.1;NZ_JAQMUE010000050.1;NZ_JAQMUE010000004.1;NZ_JAQMUE010000051.1;NZ_JAQMUE010000052.1;NZ_JAQMUE010000053.1;NZ_JAQMUE010000054.1;NZ_JAQMUE010000055.1;NZ_JAQMUE010000056.1;NZ_JAQMUE010000057.1;NZ_JAQMUE010000058.1;NZ_JAQMUE010000059.1;NZ_JAQMUE010000060.1;NZ_JAQMUE010000061.1;NZ_JAQMUE010000001.1;NZ_JAQMUE010000062.1;NZ_JAQMUE010000063.1;NZ_JAQMUE010000064.1;NZ_JAQMUE010000065.1;NZ_JAQMUE010000066.1;NZ_JAQMUE010000067.1;NZ_JAQMUE010000068.1;NZ_JAQMUE010000069.1;NZ_JAQMUE010000070.1;NZ_JAQMUE010000071.1;NZ_JAQMUE010000072.1;NZ_JAQMUE010000073.1;NZ_JAQMUE010000074.1;NZ_JAQMUE010000075.1;NZ_JAQMUE010000076.1;NZ_JAQMUE010000005.1;NZ_JAQMUE010000077.1;NZ_JAQMUE010000078.1;NZ_JAQMUE010000079.1;NZ_JAQMUE010000080.1;NZ_JAQMUE010000081.1;NZ_JAQMUE010000082.1;NZ_JAQMUE010000083.1;NZ_JAQMUE010000006.1;NZ_JAQMUE010000084.1;NZ_JAQMUE010000085.1;NZ_JAQMUE010000086.1;NZ_JAQMUE010000087.1;NZ_JAQMUE010000088.1;NZ_JAQMUE010000089.1;NZ_JAQMUE010000090.1;NZ_JAQMUE010000091.1;NZ_JAQMUE010000092.1;NZ_JAQMUE010000093.1;NZ_JAQMUE010000094.1;NZ_JAQMUE010000095.1;NZ_JAQMUE010000096.1;NZ_JAQMUE010000097.1;NZ_JAQMUE010000098.1;NZ_JAQMUE010000099.1;NZ_JAQMUE010000100.1;NZ_JAQMUE010000101.1;NZ_JAQMUE010000102.1;NZ_JAQMUE010000103.1;NZ_JAQMUE010000104.1;NZ_JAQMUE010000105.1;NZ_JAQMUE010000106.1;NZ_JAQMUE010000107.1;NZ_JAQMUE010000108.1;NZ_JAQMUE010000109.1;NZ_JAQMUE010000110.1;NZ_JAQMUE010000111.1;NZ_JAQMUE010000112.1;NZ_JAQMUE010000113.1;NZ_JAQMUE010000007.1;NZ_JAQMUE010000008.1;NZ_JAQMUE010000009.1;NZ_JAQMUE010000010.1;NZ_JAQMUE010000002.1",TRUE,FALSE,FALSE,FALSE,"ASM2833098v1","Roseofilum reptotaenium CS-1145","Contig",76138,113,"Cyanobacteria",98.1,0.27,3021782,"cellular organisms","Bacteria",NA,"Cyanobacteriota/Melainabacteria group","Cyanobacteriota/Melainabacteria group","Cyanobacteriota","Cyanophyceae","Oscillatoriophycideae","Oscillatoriales;Coleofasciculaceae;Roseofilum;Roseofilum reptotaenium;Roseofilum reptotaenium CS-1145"
